Version 3.14 Update - Professional Services and Supplies Charge Table,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Item Code,Code Type,Decription,Modifier,"Technical, Professional Indicator",Service Category Code,Primary/Bundled Indicator,Charge Type Indicator,Work Expense Units,Provider-Based Practice Expense Units,Non-Provider-Based Practice Expense Units,Total Expense Units, Anesthesia Base Units,Unit Charge,Base Charge,Unit Type,Facility Indicator,Outpatient Indicator,Inpatient Indicator,Skilled Nursing Facility Carveout,Freestanding Carve-out,Start Date,End Date
00100,CPT,ANESTHESIA SALIVARY GLANDS WITH BIOPSY,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00102,CPT,ANESTHESIA CLEFT LIP INVOLVING PLASTIC REPAIR,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00103,CPT,ANESTHESIA EYELID RECONSTRUCTIVE PROCEDURE,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00104,CPT,ANESTHESIA ELECTROCONVULSIVE THERAPY,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00120,CPT,ANESTHESIA EXTERNAL MIDDLE & INNER EAR W/BX NO,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00124,CPT,ANES EXTERNAL MIDDLE & INNER EAR W/BX OTOSCOPY,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00126,CPT,ANES XTRNL MID & INNER EAR W/BX TYMPANOTOMY,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00140,CPT,ANESTHESIA EYE NOT OTHERWISE SPECIFIED,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00142,CPT,ANESTHESIA EYE LENS SURGERY,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00144,CPT,ANESTHESIA EYE CORNEAL TRANSPLANT,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00145,CPT,ANESTHESIA EYE VITREORETINAL SURGERY,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00147,CPT,ANESTHESIA EYE IRIDECTOMY,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00148,CPT,ANESTHESIA EYE OPHTHALMOSCOPY,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00160,CPT,ANESTHESIA NOSE & ACCESSORY SINUSES NOS,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00162,CPT,ANES NOSE & ACCESSORY SINUSES RADICAL SURGERY,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00164,CPT,ANES NOSE & ACCESSORY SINUSES BIOPSY SOFT TISSUE,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00170,CPT,ANESTHESIA INTRAORAL WITH BIOPSY NOS,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00172,CPT,ANES INTRAORAL W/BIOPSY REPAIR CLEFT PALATE,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00174,CPT,ANES INTRAORAL W/BX EXC RETROPHARYNGEAL TUMOR,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00176,CPT,ANESTHESIA INTRAORAL W/BIOPSY RADICAL SURGERY,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00190,CPT,ANESTHESIA FACIAL BONES OR SKULL NOS,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00192,CPT,ANES FACIAL BONES/SKULL RAD SURG W/PROGNATHISM,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00210,CPT,ANESTHESIA INTRACRANIAL PROCEDURE NOS,,,3 ,,Anesth,,,,,11.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
