INTEGRATION REFERENCES LIST                    MAR 18,2015  11:22    PAGE 1
            DATE
      IA #  CREATED      CUSTODIAL PACKAGE
--------------------------------------------------------------------------------

        STATUS: Active
         1  JUL 27,1989  KERNEL
         2  JUL 27,1989  KERNEL
         3  JUL 27,1989  KERNEL
         6  JUL 27,1989  VA FILEMAN
         7  JUL 27,1989  KERNEL
        10  MAR 12,1990  KERNEL
        11  MAR 20,1990  REGISTRATION
        12  MAR 21,1990  LAB SERVICE
        13  MAR 21,1990  REGISTRATION
        15  FEB 23,1990  RADIOLOGY/NUCLEAR MEDICINE
        16  FEB 26,1990  SURGERY
        17  MAR 12,1990  REGISTRATION
        19  JAN 29,1990  SCHEDULING
        21  DEC  8,1989  REGISTRATION
        26  MAY  8,1989  KERNEL
        27  JUL 17,1989  REGISTRATION
        29  FEB 13,1990  VA FILEMAN
        31  NOV 14,1989  REGISTRATION
        33  NOV 14,1989  REGISTRATION
        36  MAR 22,1989  REGISTRATION
        38  MAY 23,1988  LAB SERVICE
        41  JUN  6,1990  VA FILEMAN
        42  JUN  6,1990  KERNEL
        43  JUN 18,1990  IFCAP
        44  JUN 26,1990  REGISTRATION
        47  JUL 25,1990  REGISTRATION
        51  OCT 22,1990  VA FILEMAN
        54  JUL  5,1990  ACCOUNTS RECEIVABLE
        55  NOV 28,1990  VA FILEMAN
        56  NOV 28,1990  VA FILEMAN
        57  DEC  4,1990  SURGERY
        58  NOV 27,1990  KERNEL
        61  NOV  5,1990  INTEGRATED BILLING
        62  OCT 22,1990  NURSING SERVICE
        63  OCT 22,1990  DENTAL
        64  AUG 21,1990  BENEFICIARY TRAVEL
        65  OCT 22,1990  RADIOLOGY/NUCLEAR MEDICINE
        71  FEB  1,1991  LAB SERVICE
        73  FEB  4,1991  DIETETICS
        75  FEB  4,1991  MENTAL HEALTH
        77  FEB  4,1991  DIETETICS
        78  FEB  5,1991  GEN. MED. REC. - VITALS
        80  FEB  5,1991  CLINICAL PROCEDURES
        85  JUL  9,1991  RECORD TRACKING
        87  JUL 10,1991  REGISTRATION
        88  AUG  6,1991  GRECC
        89  AUG  8,1991  IFCAP
        91  SEP 11,1991  LAB SERVICE
        92  SEP 11,1991  REGISTRATION
        93  FEB 17,2005  SCHEDULING
        94  SEP 23,1991  RADIOLOGY/NUCLEAR MEDICINE
        95  SEP 24,1991  LAB SERVICE
        97  AUG 26,1991  EVENT CAPTURE
        98  MAR 20,1991  KERNEL
        99  JUL 27,1991  EVENT CAPTURE
       100  SEP 25,1991  KERNEL
       101  AUG 26,1991  PAID
       103  JUL 28,1991  SURGERY
       111  MAY 14,1991  REGISTRATION
       115  AUG 24,1991  RECORD TRACKING
       116  AUG 24,1991  RADIOLOGY/NUCLEAR MEDICINE
       118  NOV  9,2005  RADIOLOGY/NUCLEAR MEDICINE
       119  OCT 31,1991  KERNEL
       120  AUG 24,1991  RECORD TRACKING
       121  SEP  5,1991  REGISTRATION
       124  NOV  6,1991  OUTPATIENT PHARMACY
       125  NOV  6,1991  INTEGRATED BILLING
       126  NOV  6,1991  INTEGRATED BILLING
       127  NOV  6,1991  ACCOUNTS RECEIVABLE
       128  NOV 20,1991  KERNEL
       129  NOV 21,1991  PHARMACY DATA MANAGEMENT
       130  DEC  4,1991  REGISTRATION
       131  DEC  4,1991  SCHEDULING
       132  DEC  5,1991  REGISTRATION
       136  JAN 27,2004  HEALTH SUMMARY
       141  JAN  7,1992  IFCAP
       142  JAN 23,1992  HINQ
       143  FEB  5,1992  VETERANS ADMINISTRATION
       144  FEB 18,1992  KERNEL
       145  MAR  5,1992  ORDER ENTRY/RESULTS REPORTING
       146  MAR 11,1992  REGISTRATION
       147  MAR 11,1992  CLINICAL PROCEDURES
       148  MAR 12,1992  ORDER ENTRY/RESULTS REPORTING
       150  MAR 26,1992  NATIONAL DRUG FILE
