
INTEGRATION REFERENCES LIST                    MAR 18,2015  11:27    PAGE 1
      IA #  CUSTODIAL PACKAGE
--------------------------------------------------------------------------------

        STATUS: Retired
         4  KERNEL
         5  KERNEL
         8  ORDER ENTRY/RESULTS REPORTING
        14  GEN. MED. REC. - VITALS
        18  SCHEDULING
        20  SCHEDULING
        22  SCHEDULING
        23  REGISTRATION
        24  SCHEDULING
        25  PHARMACY DATA MANAGEMENT
        28  REGISTRATION
        30  REGISTRATION
        34  OUTPATIENT PHARMACY
        35  VETERANS ADMINISTRATION
        37  REGISTRATION
        40  KERNEL
        45  REGISTRATION
        46  ORDER ENTRY/RESULTS REPORTING
        48  DRG GROUPER
        49  MAILMAN
        50  IFCAP
        52  VA FILEMAN
        53  OUTPATIENT PHARMACY
        59  LAB SERVICE
        60  OUTPATIENT PHARMACY
        66  KERNEL
        68  UNIT DOSE PHARMACY
        69  IV PHARMACY
        70  LAB SERVICE
        72  ORDER ENTRY/RESULTS REPORTING
        74  PROGRESS NOTES
        76  REGISTRATION
        79  KERNEL
        81  PATIENT FILE
        82  KERNEL
        83  SCHEDULING
        84  SCHEDULING
        86  SCHEDULING
        90  OUTPATIENT PHARMACY
        96  NURSING SERVICE
       102  DENTAL
       104  REGISTRATION
       105  RECORD TRACKING
       106  PHARMACY DATA MANAGEMENT
       107  SURGERY
       108  NURSING SERVICE
       109  LAB SERVICE
       110  SCHEDULING
       112  SCHEDULING
       113  REGISTRATION
       114  REGISTRATION
       117  PHARMACY DATA MANAGEMENT
       122  KERNEL
       123  QUALITY IMPROVEMENT CHECKLIST
       133  REGISTRATION
       134  DIETETICS
       135  VA FILEMAN
       137  ORDER ENTRY/RESULTS REPORTING
       138  OUTPATIENT PHARMACY
       139  INPATIENT MEDICATIONS
       140  IFCAP
       149  NATIONAL DRUG FILE
       152  REGISTRATION
       158  RADIOLOGY/NUCLEAR MEDICINE
       159  OCCURRENCE SCREEN
       168  VA FILEMAN
       169  KERNEL
       179  SCHEDULING
       183  OUTPATIENT PHARMACY
       184  OUTPATIENT PHARMACY
       188  SCHEDULING
       189  REGISTRATION
       191  PHARMACY DATA MANAGEMENT
       192  VA FILEMAN
       195  SCHEDULING
       199  QUALITY IMPROVEMENT CHECKLIST
       203  FEE BASIS
       204  SCHEDULING
       222  CPT/HCPCS CODES
       225  SCHEDULING
       226  REGISTRATION
       235  MCCR BACKBILLING
       236  OUTPATIENT PHARMACY
       247  MAILMAN
       261  SCHEDULING
       265  SCHEDULING
       273  PHARMACY DATA MANAGEMENT
       275  KERNEL
       276  PHARMACY DATA MANAGEMENT
       280  DRG GROUPER
       285  IFCAP
       291  VA FILEMAN
       292  HEALTH SUMMARY
       293  HEALTH SUMMARY
       303  LAB SERVICE
       320  VA FILEMAN
       335  SCHEDULING
       339  LEXICON UTILITY
       340  LEXICON UTILITY
       344  KERNEL
       351  KERNEL
       356  SCHEDULING
       364  SCHEDULING
       365  DRG GROUPER
       368  DRG GROUPER
       369  DRG GROUPER
       370  DRG GROUPER
       375  IFCAP
       401  SCHEDULING
       403  SCHEDULING
       404  SCHEDULING
       405  SCHEDULING
       408  SCHEDULING
       411  SCHEDULING
